,precip,temp_max,temp_min,target_tmax,month_max,temp_range,month_day_max,monthly_avg,day_of_year_avg
2004-01-24 00:00:00,0.08,57.0,48.0,56.0,55.7,1.1875,0.9771929824561404,55.73897911832947,56.17857142857143
2004-01-25 00:00:00,0.0,56.0,38.0,54.0,55.766666666666666,1.4736842105263157,0.9958333333333333,55.73928157589803,56.07142857142857
2004-01-26 00:00:00,0.0,54.0,43.0,56.0,55.86666666666667,1.255813953488372,1.0345679012345679,55.73726851851852,56.714285714285715
2004-01-27 00:00:00,0.01,56.0,42.0,55.0,56.06666666666667,1.3333333333333333,1.0011904761904762,55.73757225433526,56.607142857142854
2004-01-28 00:00:00,0.0,55.0,39.0,53.0,56.13333333333333,1.4102564102564104,1.0206060606060605,55.736720554272516,55.785714285714285
2004-01-29 00:00:00,0.0,53.0,42.0,57.0,56.06666666666667,1.2619047619047619,1.0578616352201258,55.733564013840834,55.67857142857143
2004-01-30 00:00:00,0.03,57.0,48.0,56.0,56.2,1.1875,0.9859649122807018,55.735023041474655,56.25
2004-01-31 00:00:00,0.0,56.0,41.0,52.0,56.266666666666666,1.3658536585365855,1.0047619047619047,55.73532796317606,56.206896551724135
2004-02-01 00:00:00,0.0,52.0,40.0,54.0,56.266666666666666,1.3,1.082051282051282,59.200504413619164,57.0
2004-02-02 00:00:00,0.27,54.0,48.0,55.0,56.4,1.125,1.0444444444444445,59.193954659949625,58.241379310344826
2004-02-03 00:00:00,0.12,55.0,47.0,57.0,56.53333333333333,1.1702127659574468,1.0278787878787878,59.18867924528302,58.172413793103445
2004-02-04 00:00:00,0.0,57.0,42.0,57.0,56.56666666666667,1.3571428571428572,0.9923976608187135,59.185929648241206,58.827586206896555
2004-02-05 00:00:00,0.0,57.0,38.0,57.0,56.766666666666666,1.5,0.995906432748538,59.183186951066496,58.06896551724138
2004-02-06 00:00:00,0.0,57.0,42.0,57.0,56.7,1.3571428571428572,0.9947368421052633,59.18045112781955,58.758620689655174
2004-02-07 00:00:00,0.0,57.0,37.0,58.0,56.46666666666667,1.5405405405405406,0.9906432748538012,59.17772215269086,59.10344827586207
2004-02-08 00:00:00,0.0,58.0,36.0,65.0,56.43333333333333,1.6111111111111112,0.9729885057471264,59.17625,58.55172413793103
2004-02-09 00:00:00,0.0,65.0,36.0,59.0,56.5,1.8055555555555556,0.8692307692307693,59.18352059925093,58.793103448275865
2004-02-10 00:00:00,0.0,59.0,42.0,61.0,56.43333333333333,1.4047619047619047,0.9564971751412429,59.18329177057357,59.310344827586206
2004-02-11 00:00:00,0.0,61.0,36.0,61.0,56.53333333333333,1.6944444444444444,0.926775956284153,59.18555417185554,58.96551724137931
2004-02-12 00:00:00,0.0,61.0,38.0,60.0,56.7,1.605263157894737,0.9295081967213116,59.18781094527363,58.03448275862069
2004-02-13 00:00:00,0.0,60.0,41.0,60.0,56.96666666666667,1.4634146341463414,0.9494444444444444,59.188819875776396,58.206896551724135
2004-02-14 00:00:00,0.0,60.0,45.0,62.0,57.1,1.3333333333333333,0.9516666666666667,59.18982630272953,58.10344827586207
2004-02-15 00:00:00,0.0,62.0,45.0,59.0,57.333333333333336,1.3777777777777778,0.924731182795699,59.193308550185876,58.793103448275865
2004-02-16 00:00:00,0.23,59.0,51.0,63.0,57.36666666666667,1.1568627450980393,0.9723163841807909,59.193069306930695,58.51724137931034
2004-02-17 00:00:00,0.09,63.0,57.0,60.0,57.56666666666667,1.105263157894737,0.9137566137566138,59.19777503090235,58.86206896551724
2004-02-18 00:00:00,0.09,60.0,50.0,55.0,57.8,1.2,0.9633333333333333,59.19876543209877,59.55172413793103
2004-02-19 00:00:00,0.0,55.0,40.0,56.0,57.666666666666664,1.375,1.0484848484848484,59.19358816276202,59.58620689655172
2004-02-20 00:00:00,0.0,56.0,49.0,55.0,57.43333333333333,1.1428571428571428,1.025595238095238,59.189655172413794,60.55172413793103
2004-02-21 00:00:00,0.0,55.0,49.0,57.0,57.36666666666667,1.1224489795918366,1.043030303030303,59.18450184501845,60.58620689655172
2004-02-22 00:00:00,0.0,57.0,47.0,61.0,57.46666666666667,1.2127659574468086,1.008187134502924,59.18181818181818,60.793103448275865
2004-02-23 00:00:00,0.01,61.0,44.0,59.0,57.6,1.3863636363636365,0.9442622950819672,59.1840490797546,60.827586206896555
2004-02-24 00:00:00,0.04,59.0,51.0,60.0,57.7,1.1568627450980393,0.9779661016949153,59.18382352941177,59.55172413793103
2004-02-25 00:00:00,0.82,60.0,47.0,56.0,57.9,1.2765957446808511,0.965,59.184822521419825,60.275862068965516
2004-02-26 00:00:00,0.11,56.0,49.0,56.0,57.9,1.1428571428571428,1.0339285714285713,59.18092909535452,60.206896551724135
2004-02-27 00:00:00,0.02,56.0,46.0,58.0,57.93333333333333,1.2173913043478262,1.0345238095238094,59.17704517704518,60.55172413793103
2004-02-28 00:00:00,0.0,58.0,38.0,56.0,58.1,1.5263157894736843,1.0017241379310344,59.17560975609756,60.206896551724135
2004-02-29 00:00:00,0.0,56.0,43.0,56.0,58.06666666666667,1.302325581395349,1.036904761904762,59.171741778319124,59.172413793103445
2004-03-01 00:00:00,0.03,56.0,45.0,69.0,58.06666666666667,1.2444444444444445,1.036904761904762,61.14729574223245,58.241379310344826
2004-03-02 00:00:00,0.0,69.0,44.0,59.0,58.63333333333333,1.5681818181818181,0.8497584541062801,61.15632183908046,59.3448275862069
2004-03-03 00:00:00,0.0,59.0,44.0,62.0,58.8,1.3409090909090908,0.9966101694915254,61.15384615384615,60.03448275862069
2004-03-04 00:00:00,0.0,62.0,44.0,60.0,59.03333333333333,1.4090909090909092,0.9521505376344086,61.15481651376147,60.3448275862069
2004-03-05 00:00:00,0.0,60.0,42.0,64.0,59.13333333333333,1.4285714285714286,0.9855555555555555,61.15349369988545,59.793103448275865
2004-03-06 00:00:00,0.0,64.0,50.0,72.0,59.36666666666667,1.28,0.9276041666666667,61.15675057208238,59.44827586206897
2004-03-07 00:00:00,0.0,72.0,44.0,76.0,59.86666666666667,1.6363636363636365,0.8314814814814815,61.16914285714286,60.827586206896555
2004-03-08 00:00:00,0.0,76.0,11.0,78.0,60.5,6.909090909090909,0.7960526315789473,61.18607305936073,58.48275862068966
2004-03-09 00:00:00,0.0,78.0,50.0,86.0,61.166666666666664,1.56,0.7841880341880342,61.205245153933866,59.827586206896555
